model,video,correct_count,predicted_count,error,frames,infer_time_s,accuracy,precision,recall,f1,mae,rmse,fps,latency_ms,size_mb,params,tp,fp,fn,tn
YOLO11n-Pose (PT),1.mp4,11,11,0,316,4.881909100000485,,,,,,,,,,,,,,
YOLO11n-Pose (PT),2.mp4,100,100,0,3029,38.3626872999921,,,,,,,,,,,,,,
YOLO11n-Pose (PT),3.mp4,30,30,0,976,12.796031100006076,,,,,,,,,,,,,,
YOLO11n-Pose (PT),4.mp4,15,15,0,474,6.389655099994343,,,,,,,,,,,,,,
YOLO11n-Pose (PT),5.mp4,18,18,0,646,8.499224199982564,,,,,,,,,,,,,,
YOLO11n-Pose (PT),6.mp4,47,47,0,1546,19.214289399994414,,,,,,,,,,,,,,
YOLO11n-Pose (PT),7.mp4,6,6,0,190,3.2965524000055666,,,,,,,,,,,,,,
YOLO11n-Pose (PT),SUMMARY,,,,,,100.0,100.0,100.0,100.0,0.0,0.0,76.80836070855453,13.019415995537905,6.255593,2866468.0,227.0,0.0,0.0,0.0
YOLO11n-Pose Float16 (TFLite),1.mp4,11,11,0,316,47.930776400004106,,,,,,,,,,,,,,
YOLO11n-Pose Float16 (TFLite),2.mp4,100,100,0,3029,423.74901679996856,,,,,,,,,,,,,,
YOLO11n-Pose Float16 (TFLite),3.mp4,30,30,0,976,137.04093609998472,,,,,,,,,,,,,,
YOLO11n-Pose Float16 (TFLite),4.mp4,15,15,0,474,64.95311929998934,,,,,,,,,,,,,,
YOLO11n-Pose Float16 (TFLite),5.mp4,18,18,0,646,91.78511779999371,,,,,,,,,,,,,,
YOLO11n-Pose Float16 (TFLite),6.mp4,47,47,0,1546,218.6904861000321,,,,,,,,,,,,,,
YOLO11n-Pose Float16 (TFLite),7.mp4,6,6,0,190,27.574086499998884,,,,,,,,,,,,,,
YOLO11n-Pose Float16 (TFLite),SUMMARY,,,,,,100.0,100.0,100.0,100.0,0.0,0.0,7.093835146994838,140.96747094886044,6.008401,,227.0,0.0,0.0,0.0
YOLO11n-Pose Int8 (TFLite),1.mp4,11,11,0,316,27.18203349997566,,,,,,,,,,,,,,
YOLO11n-Pose Int8 (TFLite),2.mp4,100,100,0,3029,254.4703986999757,,,,,,,,,,,,,,
YOLO11n-Pose Int8 (TFLite),3.mp4,30,30,0,976,86.04835349998575,,,,,,,,,,,,,,
YOLO11n-Pose Int8 (TFLite),4.mp4,15,15,0,474,41.90723949998937,,,,,,,,,,,,,,
YOLO11n-Pose Int8 (TFLite),5.mp4,18,18,0,646,59.68220070000825,,,,,,,,,,,,,,
YOLO11n-Pose Int8 (TFLite),6.mp4,47,47,0,1546,281.86903659999734,,,,,,,,,,,,,,
YOLO11n-Pose Int8 (TFLite),7.mp4,6,6,0,190,17.167648599996028,,,,,,,,,,,,,,
YOLO11n-Pose Int8 (TFLite),SUMMARY,,,,,,100.0,100.0,100.0,100.0,0.0,0.0,9.341075909635247,107.05404919881958,3.419757,,227.0,0.0,0.0,0.0
